x,y,z
210.46927443309065,179.45240768955483,a
237.6330636407413,225.62365082310163,a
298.8790738329249,248.50735614278386,a
333.59739550518293,259.7868545427597,a
370.4588035936549,315.16582281642525,a
448.8554476951214,323.8988958735162,a
511.7650543542631,349.7940594214153,a
439.04165910936945,356.7859049411363,a
485.5516816181956,345.86779845702756,a
486.4223870587718,382.0036594372283,a
488.5806035163547,375.87345176071733,a
442.59639939320977,334.05068274353107,a
397.4144604962644,283.42551270106594,a
346.00054777817724,275.2280982972485,a
341.1444891542355,238.79408308260741,a
321.9309896784645,216.35016779211662,a
354.75173267732504,228.04956612809053,a
362.03603187307135,187.92400100220988,a
374.3039043740304,229.20739503064488,a
350.3070779772216,257.97148195268545,a
377.5022566304885,227.931248284059,a
404.85021636940616,274.78092210702164,a
442.25486459876777,306.65154332492614,a
478.9864871318163,332.7646651546706,a
454.63218567291085,325.08870444266597,a
448.78858385680996,325.6544635852025,a
487.7634404366147,312.0985721284591,a
501.8925633355025,357.68717727401906,a
447.2552248609513,286.12444941472336,a
417.6991073927799,304.7788157354517,a
386.33056068703195,272.73898701697544,a
314.86592816839857,211.87679730379398,a
295.0548071863548,207.09728889601826,a
300.955052566061,215.36776474349307,a
309.11366274892794,234.88902343244837,a
282.32382754443876,233.88962203469634,a
282.2685360775571,175.42034052278132,a
312.7917053739477,244.3966410440522,a
311.1716307221578,240.27014870929747,a
309.5353218230081,214.01917557623187,a
338.54900340240334,306.94341228326647,a
347.2311764892415,228.12735861920748,a
413.0120838471529,248.16026947858657,a
330.54021714687536,261.24208378217196,a
318.66795983370025,225.27655294818112,a
277.68821952790034,239.0428926033464,a
253.37034988707322,208.37192752952825,a
289.605281361818,193.6989767805964,a
289.9819686508277,255.25904184872496,a
259.67317654909345,176.58412728332416,a
299.07027040297106,163.7365251216895,a
289.1503706235095,235.2389061718909,a
218.3237144878224,174.8022696700424,a
273.3880126682617,203.20128951350733,a
266.9072494384761,212.00207486774383,a
254.80275286749796,208.7467963569119,a
247.23290850220152,219.79179072098742,a
312.80191923289317,234.57563308134996,a
307.99317938274004,230.56384782258112,a
317.74465874402756,199.56774866116876,a
275.72094559522606,197.13436117000236,a
283.6486047298972,182.98889680069647,a
220.8852743301283,220.97123736650565,a
253.37091735571607,208.79557571321664,a
253.44755734915054,188.1927525489698,a
266.41883881502287,192.5496199917432,a
218.24589049737006,207.2259345966525,a
251.4450371931821,180.6326767278988,a
227.99505863512826,173.54831538672937,a
251.64857482335842,170.14799353705808,a
257.7020873725838,204.9692621705226,a
263.220056033323,212.86297584796154,a
262.4026225153405,165.82723984310257,a
249.3224835754501,159.98353352588498,a
